Date,Open,High,Low,Close,Volume,actual_returns,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2023-01-19,389.3599853515625,391.0799865722656,387.260009765625,388.6400146484375,86958900,-0.007279817254666643,394.0999984741211,385.63739990234376,390.1979535418422,389.1017445637189,393.6618471226745,393.7898227038378,387.5266658641674,-1.0
2023-01-20,390.1000061035156,396.0400085449219,388.3800048828125,395.8800048828125,91806400,0.018629039629190602,393.4449996948242,385.54309997558596,390.82929261843185,389.36850574864127,394.7901589967582,395.11050863889943,387.1811410409433,1.0
2023-01-23,396.7200012207031,402.6499938964844,395.7200012207031,400.6300048828125,84178800,0.011998585281936869,394.1600036621094,385.5230999755859,391.91826070714876,389.8116447009352,397.26587243161384,398.1949786355667,386.92833229347514,1.0
2023-01-24,398.8800048828125,401.1499938964844,397.6400146484375,400.2000122070313,59524900,-0.0010732912426441032,396.33750915527344,385.54300018310545,392.8384553628195,390.22037114431737,398.8300969646882,399.847364976319,386.8146594012225,-1.0
2023-01-25,395.9500122070313,400.7000122070313,393.55999755859375,400.3500061035156,84800300,0.000374797331107235,399.26500701904297,385.59470031738283,393.67307214772126,390.6188664699539,399.93999507828397,400.8358116926353,386.86891861903814,1.0
2023-01-26,403.1300048828125,404.9200134277344,400.0299987792969,404.75,72287400,0.010990368001509987,401.48250579833984,385.6780001831055,394.9038419561899,391.17471011502585,402.25072811472893,403.46723578326413,387.06138770962934,1.0
2023-01-27,403.6600036621094,408.1600036621094,403.4400024414063,405.6799926757813,68346200,0.0022976965430050456,402.7450027465821,385.81240020751954,396.10119207687814,391.74520290701867,404.16436549674575,405.4406970673808,387.37857903374567,1.0
2023-01-30,402.7999877929688,405.1300048828125,400.2799987792969,400.5899963378906,74202000,-0.012546826143232104,402.8424987792969,385.9107000732422,396.59994812096176,392.09302888828756,403.6173198267572,404.03292038549216,387.79694309941044,-1.0
2023-01-31,401.1300048828125,406.5299987792969,400.7699890136719,406.4800109863281,86811800,0.014703349315466685,404.375,385.9977001953125,397.6977329132885,392.6587421190948,405.2665229318474,405.84170098973124,388.31444295247394,1.0
2023-02-01,405.2099914550781,413.6700134277344,402.3500061035156,410.7999877929688,101459200,0.010627771821197785,405.8874969482422,386.1019000244141,399.15353904581457,393.37200220422875,407.92574409167497,408.96073527824075,388.9809550532588,1.0
2023-02-02,414.8599853515625,418.30999755859375,412.8800048828125,416.7799987792969,101654500,0.014556989201620407,408.6624984741211,386.20369995117187,401.11203461335236,394.29224207627203,411.8954193370945,413.7003281747875,389.75209685902536,1.0
2023-02-03,411.5899963378906,416.9700012207031,411.0899963378906,412.3500061035156,94736800,-0.010629091340170427,411.60250091552734,386.2175,402.36069813583237,395.0020788420512,413.0365973085698,414.34320613771325,390.63305362654324,-1.0
